Database Name	ODA
Database Location	http://localhost/ODA/OdaService.asmx
Evaluation Signature	4338fd89-4afd-41e6-b172-9189337d3477
Plate Name	251121_Scratch_48h_Gamme_prot
Measurement	Measurement 1
Evaluation	Evaluation2

[Data]
Row	Column	Plane	Timepoint	wound - Region Area [µm²] - Sum per Well	Number of Analyzed Fields	Global Image Binning	Height [µm]	Time [s]	Temperature	Target Temperature	CO2	Target CO2	Compound	Concentration	Cell Type	Cell Count	
2	2	1	3	3212544.28581	8	4	0	14402.5709305	Off	37	Off	5					
2	3	1	3	3486711.29315	8	4	0	14402.4306779	Off	37	Off	5					
2	4	1	3	3300382.21149	8	4	0	14402.180928	Off	37	Off	5					
2	5	1	3	3395851.4895	8	4	0	14401.962427699998	Off	37	Off	5					
2	6	1	3	3327225.19959	8	4	0	14403.024182399999	Off	37	Off	5					
2	7	1	3	3392803.82025	8	4	0	14402.664928099999	Off	37	Off	5					
2	8	1	3	3083858.70854	8	4	0	14405.8836684	Off	37	Off	5					
2	9	1	3	3228954.70231	8	4	0	14405.617418299998	Off	37	Off	5					
3	1	1	3	3827236.39087	8	4	0	14402.6651744	Off	37	Off	5					
3	2	1	3	3373678.15541	8	4	0	14402.4931769	Off	37	Off	5					
3	3	1	3	3422794.77702	8	4	0	14402.4619243	Off	37	Off	5					
3	4	1	3	4186655.03194	8	4	0	14402.227924499999	Off	37	Off	5					
3	5	1	3	3796060.46821	8	4	0	14401.9779499	Off	37	Off	5					
3	6	1	3	3156757.75336	8	4	0	14403.1184172	Off	37	Off	5					
3	7	1	3	4081205.96252	8	4	0	14402.6339378	Off	37	Off	5					
3	8	1	3	2466266.51765	7	4	0	14403.617926899999	Off	37	Off	5					
3	9	1	3	3591491.22221	8	4	0	14405.4456808	Off	37	Off	5					
4	1	1	3	5731960.89424	8	4	0	14402.4464281	Off	37	Off	5					
4	2	1	3	5310740.62176	8	4	0	14402.5714063	Off	37	Off	5					
4	3	1	3	4730732.05305	8	4	0	14402.352684099998	Off	37	Off	5					
4	4	1	3	3755625.47705	8	4	0	14402.212174499999	Off	37	Off	5					
4	5	1	3	3773978.83643	8	4	0	14402.1964342	Off	37	Off	5					
4	6	1	3	3900129.7043	8	4	0	14403.1021625	Off	37	Off	5					
4	7	1	3	3927782.25193	8	4	0	14402.633929399999	Off	37	Off	5					
4	8	1	3	3305670.85615	8	4	0	14403.3509528	Off	37	Off	5					
4	9	1	3	2944177.45012	8	4	0	14405.429920699999	Off	37	Off	5					
5	1	1	3	3754080.86612	8	4	0	14402.2276829	Off	37	Off	5					
5	2	1	3	3346995.64636	8	4	0	14402.868170099999	Off	37	Off	5					
5	3	1	3	3252487.80985	8	4	0	14402.3056786	Off	37	Off	5					
5	4	1	3	3959687.4946	8	4	0	14402.383952099999	Off	37	Off	5					
5	5	1	3	3519202.57095	8	4	0	14402.1964371	Off	37	Off	5					
5	6	1	3	3807842.78331	8	4	0	14403.196155099999	Off	37	Off	5					
5	7	1	3	4305863.7477	8	4	0	14402.6021915	Off	37	Off	5					
5	8	1	3	2954684.52986	8	4	0	14403.2434222	Off	37	Off	5					
6	1	1	3	3508050.70928	8	4	0	14402.2744246	Off	37	Off	5					
6	2	1	3	3202739.30195	8	4	0	14404.508177	Off	37	Off	5					
6	3	1	3	3309906.3569900002	8	4	0	14402.258927199999	Off	37	Off	5					
6	4	1	3	4193996.94883	8	4	0	14402.4164255	Off	37	Off	5					
6	5	1	3	4110053.50599	8	4	0	14402.211685999999	Off	37	Off	5					
6	6	1	3	3753106.52899	8	4	0	14403.196172799999	Off	37	Off	5					
6	7	1	3	4316558.53062	8	4	0	14402.7124288	Off	37	Off	5					
6	8	1	3	2954173.00286	8	4	0	14403.227648	Off	37	Off	5					
7	1	1	3	3282313.989	8	4	0	14403.305676799999	Off	37	Off	5					
7	2	1	3	3475271.42889	8	4	0	14404.0576848	Off	37	Off	5					
7	3	1	3	3402560.08725	8	4	0	14402.211679799999	Off	37	Off	5					
7	4	1	3	4273770.80186	8	4	0	14402.399682899999	Off	37	Off	5					
7	5	1	3	3623395.03203	8	4	0	14402.2121844	Off	37	Off	5					
7	6	1	3	4312119.56526	8	4	0	14403.2119288	Off	37	Off	5					
7	7	1	3	3886185.22046	8	4	0	14403.117936699999	Off	37	Off	5					
7	8	1	3	3395778.41422	8	4	0	14403.1961763	Off	37	Off	5					
8	1	1	3	3557912.41223	8	4	0	14404.072707899999	Off	37	Off	5					
8	2	1	3	3271346.96483	8	4	0	14403.977432099999	Off	37	Off	5					
8	3	1	3	3710698.50513	8	4	0	14402.1806757	Off	37	Off	5					
8	4	1	3	4059926.72603	8	4	0	14402.6164295	Off	37	Off	5					
8	5	1	3	3854274.2464	8	4	0	14402.6804292	Off	37	Off	5					
8	6	1	3	3926776.39212	8	4	0	14403.2301809	Off	37	Off	5					
1	1	1	4	3633674.28882	8	4	0	21600.0430433	Off	37	Off	5					
1	2	1	4	3398763.03812	8	4	0	21596.7025248	Off	37	Off	5					
1	3	1	4	3339696.71493	8	4	0	21596.5777733	Off	37	Off	5					
1	4	1	4	3744456.4212	8	4	0	21597.4205291	Off	37	Off	5					
1	5	1	4	3783554.56449	8	4	0	21597.358543399998	Off	37	Off	5					
1	6	1	4	3511843.45987	8	4	0	21598.1242559	Off	37	Off	5					
1	7	1	4	3681124.50735	8	4	0	21598.014787599997	Off	37	Off	5					
1	8	1	4	3822897.72491	8	4	0	21598.826782	Off	37	Off	5					
1	9	1	4	3205315.56397	8	4	0	21598.780028099998	Off	37	Off	5					
2	1	1	4	3543649.83597	8	4	0	21599.6862744	Off	37	Off	5					
2	2	1	4	2955382.32719	8	4	0	21596.6707769	Off	37	Off	5					
2	3	1	4	3362229.69406	8	4	0	21596.68678	Off	37	Off	5					
2	4	1	4	3187485.19437	8	4	0	21597.5145246	Off	37	Off	5					
2	5	1	4	3279522.79968	8	4	0	21597.6402823	Off	37	Off	5					
2	6	1	4	3029025.0205	8	4	0	21598.2487805	Off	37	Off	5					
2	7	1	4	3197473.58287	8	4	0	21598.124022599997	Off	37	Off	5					
2	8	1	4	2890611.83321	8	4	0	21598.780020399998	Off	37	Off	5					
2	9	1	4	2913002.96031	8	4	0	21598.8112834	Off	37	Off	5					
3	1	1	4	3738298.03736	8	4	0	21599.577278599998	Off	37	Off	5					
3	2	1	4	3130807.43002	8	4	0	21596.5775446	Off	37	Off	5					
3	3	1	4	3297088.09226	8	4	0	21596.7805232	Off	37	Off	5					
3	4	1	4	4027776.46624	8	4	0	21597.452522	Off	37	Off	5					
3	5	1	4	3661624.86899	8	4	0	21597.6552802	Off	37	Off	5					
3	6	1	4	3047220.76652	8	4	0	21598.3435147	Off	37	Off	5					
3	7	1	4	3941473.12155	8	4	0	21598.124006399998	Off	37	Off	5					
3	8	1	4	2220683.40961	8	4	0	21598.3895452	Off	37	Off	5					
3	9	1	4	3371418.55296	8	4	0	21598.6865173	Off	37	Off	5					
4	1	1	4	5792891.35362	8	4	0	21599.280027599998	Off	37	Off	5					
4	2	1	4	5296301.80511	8	4	0	21596.593286799998	Off	37	Off	5					
4	3	1	4	4686763.65693	8	4	0	21596.6242776	Off	37	Off	5					
4	4	1	4	3436779.38062	8	4	0	21597.358523299998	Off	37	Off	5					
4	5	1	4	3452317.19224	8	4	0	21597.702026799998	Off	37	Off	5					
4	6	1	4	3593320.97004	8	4	0	21598.3267546	Off	37	Off	5					
4	7	1	4	3772233.62668	8	4	0	21598.061780699998	Off	37	Off	5					
4	8	1	4	3013909.89925	8	4	0	21598.4663044	Off	37	Off	5					
4	9	1	4	2654412.4515	8	4	0	21598.6550331	Off	37	Off	5					
5	1	1	4	3716895.57589	8	4	0	21598.9675287	Off	37	Off	5					
5	2	1	4	3124955.67581	8	4	0	21596.9525185	Off	37	Off	5					
5	3	1	4	3045171.79284	8	4	0	21596.5930267	Off	37	Off	5					
5	4	1	4	3690283.27643	8	4	0	21597.405547399998	Off	37	Off	5					
